District,Category,Place Name,Address/Location,Address,Pincode
Baksa,Devotional,Manas Kamakhya Temple,"Near Manas National Park, Baksa, Assam 781366","Near Manas National Park, Baksa, Assam",781366
Baksa,Sightseeing/Adventure,Manas National Park,"Manas River Bank, Baksa, Assam 781366","Manas River Bank, Baksa, Assam",781366
Baksa,Hiking,Manas Trails,"Starting from Manas National Park entry, Barpeta Road, Assam 781366","Starting from Manas National Park entry, Barpeta Road, Assam",781366
Barpeta,Devotional/Cultural,Barpeta Satra,"Barpeta Town, Assam 781301","Barpeta Town, Assam",781301
Barpeta,Sightseeing,Pari Hareswar Devalaya,"Dubi, Barpeta, Assam 781317","Dubi, Barpeta, Assam",781317
Biswanath,Devotional,Biswanath Temple,"Biswanath Chariali, Assam 784176","Biswanath Chariali, Assam",784176
Biswanath,Sightseeing,Kaziranga National Park (Eastern Range),"Near Biswanath Chariali, Assam 784176","Near Biswanath Chariali, Assam",784176
Biswanath,Adventure,Brahmaputra River Boating,"Biswanath Ghat, Assam 784176","Biswanath Ghat, Assam",784176
Bongaigaon,Devotional,Bagheswari Temple,"Bongaigaon Town, Assam 783380","Bongaigaon Town, Assam",783380
Bongaigaon,Sightseeing,Kakoijana Reserved Forest,"Near Bongaigaon, Assam 783380","Near Bongaigaon, Assam",783380
Cachar,Devotional,Kachari Temple,"Khaspur, Cachar, Assam 788815","Khaspur, Cachar, Assam",788815
Cachar,Cultural/Sightseeing,Silchar,"Silchar, Assam 788001","Silchar, Assam",788001
Cachar,Adventure,Barak River Boating,"Silchar, Assam 788001","Silchar, Assam",788001
Charaideo,Cultural/Sightseeing,Charaideo Maidams,"Charaideo, Assam 785689","Charaideo, Assam",785689
Charaideo,Devotional,Shiva Dol,"Sivasagar (close proximity), Assam 785685","Sivasagar (close proximity), Assam",785685
Chirang,Sightseeing/Adventure,Manas National Park (Western Range),"Near Kajalgaon, Chirang, Assam 783373","Near Kajalgaon, Chirang, Assam",783373
Chirang,Hiking,Kajalgaon Forest Trails,"Near Kajalgaon, Chirang, Assam 783373","Near Kajalgaon, Chirang, Assam",783373
Darrang,Devotional/Cultural,Khatara Satra,"Near Mangaldai, Assam 784125","Near Mangaldai, Assam",784125
Darrang,Sightseeing,Orang National Park,"Silbori, Darrang, Assam 784114","Silbori, Darrang, Assam",784114
Dhemaji,Sightseeing,Malinithan,"Likabali Road, Dhemaji, Assam 787059","Likabali Road, Dhemaji, Assam",787059
Dhemaji,Adventure,Siang River Rafting,"Near Jonai, Dhemaji, Assam 787060","Near Jonai, Dhemaji, Assam",787060
Dhubri,Devotional,Panbari Mosque,"Panbari, Dhubri, Assam 783301","Panbari, Dhubri, Assam",783301
Dhubri,Sightseeing,Chakrashila Wildlife Sanctuary,"Kokrajhar-Dhubri Road, Dhubri, Assam 783334","Kokrajhar-Dhubri Road, Dhubri, Assam",783334
Dibrugarh,Cultural/Sightseeing,Mancotta Tea Estate,"Mancotta Road, Dibrugarh, Assam 786001","Mancotta Road, Dibrugarh, Assam",786001
Dibrugarh,Adventure,Dibru-Saikhowa National Park,"Tinsukia-Dibrugarh border, Assam 786610","Tinsukia-Dibrugarh border, Assam",786610
Dibrugarh,Hiking,Namphai Trails,"Near Dibrugarh, Assam 786001","Near Dibrugarh, Assam",786001
Dima Hasao,Devotional,Maibang Temples,"Maibang, Dima Hasao, Assam 788831","Maibang, Dima Hasao, Assam",788831
Dima Hasao,Sightseeing,Haflong,"Haflong, Assam 788819","Haflong, Assam",788819
Dima Hasao,Adventure/Hiking,Jatinga Bird Mystery,"Jatinga, Near Haflong, Assam 788819","Jatinga, Near Haflong, Assam",788819
Goalpara,Devotional,Surya Pahar,"Sri Surya Pahar, Goalpara, Assam 783101","Sri Surya Pahar, Goalpara, Assam",783101
Goalpara,Sightseeing,Pancharatna Temple,"Near Goalpara Town, Assam 783101","Near Goalpara Town, Assam",783101
Golaghat,Sightseeing/Adventure,Kaziranga National Park (Central Zone),"Kohora, Golaghat, Assam 785609","Kohora, Golaghat, Assam",785609
Golaghat,Cultural,Negheriting Shiva Temple,"Dergaon, Golaghat, Assam 785614","Dergaon, Golaghat, Assam",785614
Hailakandi,Sightseeing,Siddheshwar Temple,"Hailakandi Town, Assam 788151","Hailakandi Town, Assam",788151
Hailakandi,Adventure,Katakhal River Boating,"Hailakandi, Assam 788151","Hailakandi, Assam",788151
Hojai,Devotional,Hojai Jama Masjid,"Hojai Town, Assam 782435","Hojai Town, Assam",782435
Hojai,Sightseeing,Lumding-Nagaon Hill Tracts,"Near Hojai, Assam 782435","Near Hojai, Assam",782435
Jorhat,Cultural/Sightseeing,Majuli Island,"Nimati Ghat, Jorhat, Assam 785104","Nimati Ghat, Jorhat, Assam",785104
Jorhat,Devotional,Dhekiakhowa Bornaamghar,"Dhekiakhowa, Jorhat, Assam 785700","Dhekiakhowa, Jorhat, Assam",785700
Jorhat,Adventure,Majuli Ferry Ride,"Nimati Ghat, Jorhat, Assam 785104","Nimati Ghat, Jorhat, Assam",785104
Kamrup,Devotional,Kamakhya Temple,"Kamakhya Hill, Guwahati, Assam 781010","Kamakhya Hill, Guwahati, Assam",781010
Kamrup,Sightseeing,Umananda Island,"Peacock Island, Brahmaputra River, Assam 781001","Peacock Island, Brahmaputra River, Assam",781001
Kamrup,Adventure,Pobitora Wildlife Sanctuary,"Morigaon-Kamrup border, Assam 782411","Morigaon-Kamrup border, Assam",782411
Kamrup Metropolitan,Cultural,Assam State Museum,"GNB Road, Guwahati, Assam 781001","GNB Road, Guwahati, Assam",781001
Kamrup Metropolitan,Sightseeing,Guwahati Planetarium,"MG Road, Guwahati, Assam 781001","MG Road, Guwahati, Assam",781001
Karbi Anglong,Devotional,Khanduli Temple,"Near Diphu, Karbi Anglong, Assam 782460","Near Diphu, Karbi Anglong, Assam",782460
Karbi Anglong,Sightseeing,Koka Falls,"Near Bokajan, Karbi Anglong, Assam 782480","Near Bokajan, Karbi Anglong, Assam",782480
Karbi Anglong,Hiking,Singhasan Hills,"Near Diphu, Karbi Anglong, Assam 782460","Near Diphu, Karbi Anglong, Assam",782460
Karimganj,Devotional,Badarpur Fort Mosque,"Badarpur, Karimganj, Assam 788806","Badarpur, Karimganj, Assam",788806
Karimganj,Sightseeing,Malegarh Hill,"Near Karimganj Town, Assam 788710","Near Karimganj Town, Assam",788710
Kokrajhar,Cultural,Kokrajhar Cultural Sites,"Kokrajhar Town, Assam 783370","Kokrajhar Town, Assam",783370
Kokrajhar,Sightseeing,Chakrashila Wildlife Sanctuary,"Kokrajhar-Dhubri Road, Assam 783334","Kokrajhar-Dhubri Road, Assam",783334
Lakhimpur,Sightseeing,Bordoibam Beelmukh Bird Sanctuary,"Near Dhakuakhana, Lakhimpur, Assam 787055","Near Dhakuakhana, Lakhimpur, Assam",787055
Lakhimpur,Adventure,Subansiri River Boating,"Near North Lakhimpur, Assam 787001","Near North Lakhimpur, Assam",787001
Majuli,Cultural,Auniati Satra,"Majuli Island, Assam 785104","Majuli Island, Assam",785104
Majuli,Sightseeing,Tengapania,"Majuli Island, Assam 785104","Majuli Island, Assam",785104
Marigaon,Devotional,Sitajakhala Temple,"Near Morigaon Town, Assam 782105","Near Morigaon Town, Assam",782105
Marigaon,Sightseeing,Pobitora Wildlife Sanctuary,"Near Morigaon, Assam 782411","Near Morigaon, Assam",782411
Nagaon,Devotional,Mahamrityunjay Temple,"Kampur, Nagaon, Assam 782426","Kampur, Nagaon, Assam",782426
Nagaon,Cultural,Bordowa Satra,"Birthplace of Sankardeva, Nagaon, Assam 782120","Birthplace of Sankardeva, Nagaon, Assam",782120
Nalbari,Devotional,Hari Mandir,"Nalbari Town, Assam 781335","Nalbari Town, Assam",781335
Nalbari,Sightseeing,Billeswar Temple,"Belsor, Nalbari, Assam 781304","Belsor, Nalbari, Assam",781304
Sivasagar,Devotional,Shivadol Temple,"Sivasagar Town, Assam 785640","Sivasagar Town, Assam",785640
Sivasagar,Cultural,Rang Ghar,"Near Sivasagar Town, Assam 785640","Near Sivasagar Town, Assam",785640
Sonitpur,Sightseeing,Nameri National Park,"Near Tezpur, Sonitpur, Assam 784103","Near Tezpur, Sonitpur, Assam",784103
Sonitpur,Adventure,Brahmaputra River Rafting,"Near Tezpur, Assam 784001","Near Tezpur, Assam",784001
South Salmara-Mankachar,Sightseeing,Mankachar Riverfront,"Mankachar, Assam 783131","Mankachar, Assam",783131
South Salmara-Mankachar,Adventure,Fishing in Gadadhar River,"Near Mankachar, Assam 783131","Near Mankachar, Assam",783131
Tamulpur,Sightseeing,Bogamati,"Near Tamulpur, Assam 781368","Near Tamulpur, Assam",781368
Tamulpur,Hiking,Bhutan Border Trails,"Near Tamulpur, Assam 781368","Near Tamulpur, Assam",781368
Tinsukia,Cultural,Tilinga Mandir,"Tinsukia Town, Assam 786125","Tinsukia Town, Assam",786125
Tinsukia,Sightseeing,Digboi Oil Refinery,"Digboi, Tinsukia, Assam 786171","Digboi, Tinsukia, Assam",786171
Udalguri,Sightseeing,Bornadi Wildlife Sanctuary,"Near Udalguri Town, Assam 784509","Near Udalguri Town, Assam",784509
Udalguri,Hiking,Bhutan Hills Trails,"Near Udalguri, Assam 784509","Near Udalguri, Assam",784509
West Karbi Anglong,Sightseeing,Khanduli Waterfall,"Near Hamren, West Karbi Anglong, Assam 782486","Near Hamren, West Karbi Anglong, Assam",782486
West Karbi Anglong,Hiking,Amreng Hills,"Near Hamren, West Karbi Anglong, Assam 782486}","Near Hamren, West Karbi Anglong, Assam",782486}
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
